EN_Name,FR_Name,Year,Year Completed,Lat,Long,,EN_Location,FR_Location,EN_Link,FR_Link
Tintin in the Land of the Soviets,Tintin au pays des Soviets,1929–1930,1930,55.755833,37.617222,,"Moscow, Soviet Union","Moscou, Union soviétique",http://en.tintin.com/albums/show/id/25/page/0/0/tintin-in-the-land-of-the-soviets,https://www.tintin.com/fr/albums/tintin-au-pays-des-soviets
Tintin in the Congo,Tintin au Congo,1930–1931,1931,-4.325,15.322222,,DR Congo,Congo,http://en.tintin.com/albums/show/id/26/page/0/0/tintin-in-the-congo,https://www.tintin.com/fr/albums/tintin-au-congo
Tintin in America,Tintin en Amérique,1931–1932,1932,41.8781,-87.6298,,"Chicago, USA","Chicago, États-Unis",http://en.tintin.com/albums/show/id/27/page/0/0/tintin-in-america,
Tintin in America,Tintin en Amérique,1931–1932,1932,40.850556,-91.026312,,"Midwest, USA","Midwest, États-Unis",http://en.tintin.com/albums/show/id/27/page/0/0/tintin-in-america,
Cigars of the Pharaoh,Les Cigares du Pharaon,1932–1934,1934,31.266116,32.297872,,Egypt,l'Égypte,http://en.tintin.com/albums/show/id/28/page/0/0/cigars-of-the-pharaoh,https://www.tintin.com/fr/albums/les-cigares-du-pharaon
Cigars of the Pharaoh,Les Cigares du Pharaon,1932–1934,1934,28.630826,35.83923,,Arabia,l'Arabie,http://en.tintin.com/albums/show/id/28/page/0/0/cigars-of-the-pharaoh,https://www.tintin.com/fr/albums/les-cigares-du-pharaon
Cigars of the Pharaoh,Les Cigares du Pharaon,1932–1934,1934,22.454296,78.344341,,India,l'Inde,http://en.tintin.com/albums/show/id/28/page/0/0/cigars-of-the-pharaoh,https://www.tintin.com/fr/albums/les-cigares-du-pharaon
The Blue Lotus,Le Lotus Bleu,1932–1934,1934,22.554296,78.344341,,India,l'Inde,http://en.tintin.com/albums/show/id/29/page/0/0/the-blue-lotus,https://www.tintin.com/fr/albums/le-lotus-bleu
The Blue Lotus,Le Lotus Bleu,1934–1935,1935,31.066496,121.575316,,"Shanghai, China","Shanghai, Chine",http://en.tintin.com/albums/show/id/29/page/0/0/the-blue-lotus,https://www.tintin.com/fr/albums/le-lotus-bleu
The Blue Lotus,Le Lotus Bleu,1934–1935,1935,29.765723,116.369945,,"Hukou, China","Xian de Hukou, Chine",http://en.tintin.com/albums/show/id/29/page/0/0/the-blue-lotus,https://www.tintin.com/fr/albums/le-lotus-bleu
The Broken Ear,L'Oreille Cassée,1935–1937,1937,2.854577,-58.539199,,San Theodoros,San Theodoros,http://en.tintin.com/albums/show/id/30/page/0/0/the-broken-ear,https://www.tintin.com/fr/albums/l-oreille-cassee
The Black Island,L'Île Noire,1937–1938,1938,58.802213,-2.952057,,Scotland,L'Écosse,http://en.tintin.com/albums/show/id/31/page/0/0/the-black-island,https://www.tintin.com/fr/albums/l-ile-noire
King Ottokar's Sceptre,Le Sceptre D'Ottokar,1938–1939,1939,43.292694,20.064573,,Syldavia,Syldavie,http://en.tintin.com/albums/show/id/32/page/0/0/king-ottokar-s-sceptre,https://www.tintin.com/fr/albums/le-sceptre-d-ottokar
King Ottokar's Sceptre,Le Sceptre D'Ottokar,1938–1939,1939,42.712987,21.978027,,Borduria,Bordurie,http://en.tintin.com/albums/show/id/32/page/0/0/king-ottokar-s-sceptre,https://www.tintin.com/fr/albums/le-sceptre-d-ottokar
The Crab with the Golden Claws,Le Crabe aux pinces d'or,1940–1941,1941,34.63101,-6.392818,,Morocco,Maroque,http://en.tintin.com/albums/show/id/33/page/0/0/the-crab-with-the-golden-claws,https://www.tintin.com/fr/albums/le-crabe-aux-pinces-d-or
